Category,Flagged Type,Flagged ID,Comments,Created At
Suspicious Behavior,Athlete,88293976,"","Jul 6, 2021, 4:29:07 AM"
It's spam,Athlete,1499633,"","May 17, 2022, 1:43:19 PM"
Bad GPS data,Activity,7256721012,"","Jun 5, 2022, 3:42:41 AM"
Bad GPS data,Activity,7581520107,"","Aug 4, 2022, 1:47:29 PM"
Bad GPS data,Activity,8209766118,"","Dec 5, 2022, 10:36:32 AM"
Bad GPS data,Activity,14818057142,"","Jun 16, 2025, 3:59:22 PM"
Bad GPS data,Activity,14818071553,"","Jun 16, 2025, 4:00:46 PM"
Bad GPS data,Activity,14818119749,"","Jun 16, 2025, 4:05:46 PM"
Bad GPS data,Activity,14818186591,"","Jun 16, 2025, 4:12:44 PM"
Bad GPS data,Activity,14818213335,"","Jun 16, 2025, 4:15:26 PM"
Bad GPS data,Activity,14818299811,"","Jun 16, 2025, 4:24:19 PM"
Bad GPS data,Activity,14818634875,"","Jun 16, 2025, 4:56:11 PM"
Bad GPS data,Activity,14818634875,"","Jun 16, 2025, 4:56:43 PM"
Bad GPS data,Activity,14818634875,"","Jun 16, 2025, 4:56:43 PM"
Bad GPS data,Activity,14818634875,"","Jun 16, 2025, 4:56:43 PM"
Bad GPS data,Activity,14818817489,"","Jun 16, 2025, 5:12:09 PM"
Bad GPS data,Activity,14818876728,"","Jun 16, 2025, 5:17:19 PM"
Bad GPS data,Activity,14818973063,"","Jun 16, 2025, 5:25:49 PM"
Bad GPS data,Activity,14819016005,"","Jun 16, 2025, 5:29:38 PM"
Bad GPS data,Activity,14819101676,"","Jun 16, 2025, 5:36:57 PM"
Bad GPS data,Activity,14819109358,"","Jun 16, 2025, 5:37:40 PM"
Bad GPS data,Activity,14819141283,"","Jun 16, 2025, 5:40:25 PM"
Bad GPS data,Activity,14819201044,"","Jun 16, 2025, 5:45:31 PM"
Bad GPS data,Activity,14819368251,"","Jun 16, 2025, 5:59:29 PM"
Bad GPS data,Activity,14820021473,"","Jun 16, 2025, 6:54:19 PM"
Bad GPS data,Activity,14820041986,"","Jun 16, 2025, 6:56:07 PM"
Bad GPS data,Activity,14820146555,"","Jun 16, 2025, 7:05:01 PM"
Bad GPS data,Activity,14820182499,"","Jun 16, 2025, 7:08:08 PM"
Bad GPS data,Activity,14820227453,"","Jun 16, 2025, 7:12:05 PM"
Bad GPS data,Activity,14820290056,"","Jun 16, 2025, 7:17:56 PM"
Bad GPS data,Activity,14820340388,"","Jun 16, 2025, 7:22:36 PM"
Bad GPS data,Activity,14820381789,"","Jun 16, 2025, 7:26:40 PM"
Bad GPS data,Activity,14820434837,"","Jun 16, 2025, 7:32:00 PM"
Bad GPS data,Activity,14820526758,"","Jun 16, 2025, 7:41:35 PM"
Bad GPS data,Activity,14820603785,"","Jun 16, 2025, 7:50:10 PM"
Bad GPS data,Activity,14820639835,"","Jun 16, 2025, 7:54:14 PM"
Bad GPS data,Activity,14823198157,"","Jun 17, 2025, 2:22:29 AM"
Bad GPS data,Activity,14823702669,"","Jun 17, 2025, 4:44:57 AM"
Bad GPS data,Activity,14824077640,"","Jun 17, 2025, 5:55:23 AM"
Bad GPS data,Activity,14824298982,"","Jun 17, 2025, 6:27:56 AM"
Bad GPS data,Activity,14824325183,"","Jun 17, 2025, 6:32:02 AM"
Bad GPS data,Activity,14824419697,"","Jun 17, 2025, 6:46:42 AM"
Bad GPS data,Activity,14824451453,"","Jun 17, 2025, 6:51:34 AM"
This activity has been flagged for high average speed,Activity,8142443326,"","Dec 3, 2025, 8:53:01 PM"
This activity has been flagged for high average speed,Activity,6046496118,"","Dec 4, 2025, 8:58:55 AM"
This activity has been flagged for high average speed,Activity,4083693804,"","Dec 4, 2025, 11:56:35 PM"
This activity has been flagged for high average speed,Activity,7940093523,"","Dec 5, 2025, 1:46:26 AM"
This activity has been flagged for high average speed,Activity,5244992839,"","Dec 5, 2025, 4:15:21 AM"
This activity has been flagged for high average speed,Activity,5221765571,"","Dec 5, 2025, 7:31:10 AM"
This activity has been flagged for high average speed,Activity,8034605074,"","Dec 5, 2025, 8:48:03 PM"
This activity has been flagged for high average speed,Activity,5445516460,"","Dec 5, 2025, 9:38:16 PM"
This activity has been flagged for high average speed,Activity,6987765573,"","Dec 6, 2025, 9:18:51 AM"
This activity has been flagged for high average speed,Activity,5855164176,"","Dec 6, 2025, 2:42:39 PM"
This activity has been flagged for high average speed,Activity,4851577321,"","Dec 6, 2025, 4:02:11 PM"
This activity has been flagged for high average speed,Activity,5909559131,"","Dec 6, 2025, 4:06:47 PM"
This activity has been flagged for high average speed,Activity,5457406433,"","Dec 6, 2025, 11:09:07 PM"
This activity has been flagged for high average speed,Activity,5102530872,"","Dec 7, 2025, 12:53:22 AM"
This activity has been flagged for high average speed,Activity,5941439986,"","Dec 7, 2025, 11:04:55 AM"
This activity has been flagged for high average speed,Activity,6250789151,"","Dec 8, 2025, 3:03:19 AM"
This activity has been flagged for high average speed,Activity,5078079472,"","Dec 8, 2025, 4:15:34 AM"
This activity has been flagged for high average speed,Activity,6218642077,"","Dec 8, 2025, 11:42:09 PM"
This activity has been flagged for high average speed,Activity,6286286501,"","Dec 9, 2025, 10:52:26 AM"
This activity has been flagged for high average speed,Activity,5892540033,"","Dec 10, 2025, 1:45:42 AM"
This activity has been flagged for high average speed,Activity,6057892744,"","Dec 10, 2025, 6:53:26 AM"
This activity has been flagged for high average speed,Activity,5085215703,"","Dec 10, 2025, 8:44:38 AM"
This activity has been flagged for high average speed,Activity,8213524159,"","Dec 12, 2025, 4:00:41 AM"
This activity has been flagged for high average speed,Activity,2873313106,"","Dec 12, 2025, 6:36:59 PM"
This activity has been flagged for high average speed,Activity,5562189141,"","Dec 12, 2025, 6:36:59 PM"
This activity has been flagged for high average speed,Activity,7343174389,"","Dec 13, 2025, 9:12:55 AM"
This activity has been flagged for high average speed,Activity,6178039792,"","Dec 14, 2025, 1:11:38 AM"
This activity has been flagged for high average speed,Activity,4013674888,"","Dec 17, 2025, 7:32:25 AM"
This activity has been flagged for high average speed,Activity,7081006252,"","Dec 17, 2025, 9:43:41 PM"
This activity has been flagged for high average speed,Activity,5557079201,"","Dec 18, 2025, 9:23:26 AM"
This activity has been flagged for high average speed,Activity,4126957737,"","Dec 18, 2025, 10:31:07 AM"
This activity has been flagged for high average speed,Activity,4171622349,"","Dec 19, 2025, 1:06:51 PM"
This activity has been flagged for high average speed,Activity,6005057439,"","Dec 20, 2025, 12:27:56 AM"
This activity has been flagged for high average speed,Activity,8317804326,"","Dec 20, 2025, 4:19:12 PM"
This activity has been flagged for high average speed,Activity,4117999719,"","Dec 21, 2025, 5:28:33 PM"
This activity has been flagged for high average speed,Activity,8217946902,"","Dec 23, 2025, 2:15:47 AM"
This activity has been flagged for high average speed,Activity,16818063592,"","Dec 23, 2025, 9:58:39 AM"
This activity has been flagged for high average speed,Activity,4224147262,"","Dec 23, 2025, 11:58:10 AM"
This activity has been flagged for high average speed,Activity,5266833251,"","Dec 23, 2025, 8:44:51 PM"
